,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,PERSON,0.14838435374149658,0.6926020408163267,en,2.8
RS Berkane,RS Berkane,PERSON,0.0,0.0,en,1.9
Ahmed Al-Tibi,Ahmed Al-Tibi,PERSON,0.2727272727272727,1.1818181818181817,en,1.1
Christophe Gleize,Christophe Gleize,PERSON,-0.030555555555555558,0.14722222222222223,en,1.0
Philippe Lazzarini,Philippe Lazzarini,PERSON,0.15,0.6,en,1.0
Bab al-Mandab,Bab al-Mandab,PERSON,0.05,0.2,en,1.0
Derek Van Dam,Derek Van Dam,PERSON,0.0,0.0,en,1.0
Claudia Sheinbaum,Claudia Sheinbaum,PERSON,0.14444444444444446,0.375,en,1.0
Nizar Baraka,Nizar Baraka,PERSON,-0.1625,0.4375,en,1.0
Zahran Mamdani,Zahran Mamdani,PERSON,0.13636363636363635,0.45454545454545453,en,1.0
Gloria Pazmino,Gloria Pazmino,PERSON,0.1787878787878788,0.36818181818181817,en,1.0
Wisław Szczepanski,Wisław Szczepanski,PERSON,0.125,0.39166666666666666,en,1.0
